Metric,Value
HR,83
BloodCirculation,55
BC2,97
BC3,781
BC4,1
BC5,217
BC6,4795
FitnessRaw,40
Metabolism,2611
Hydration,67
Calmness,69
FitnessAvg,40
Wellness,4
