Metric,Value
HR,76
BloodCirculation,53
BC2,85
BC3,726
BC4,1
BC5,207
BC6,4754
FitnessRaw,44
Metabolism,2125
Hydration,79
Calmness,56
FitnessAvg,44
Wellness,4
