Metric,Value
HR,66
BloodCirculation,46
BC2,83
BC3,660
BC4,1
BC5,196
BC6,5279
FitnessRaw,55
Metabolism,2441
Hydration,99
Calmness,87
FitnessAvg,55
Wellness,4
