Metric,Value
HR,0
BloodCirculation,53
BC2,87
BC3,711
BC4,1
BC5,208
BC6,4727
FitnessRaw,0
Metabolism,1586
Hydration,69
Calmness,0
FitnessAvg,80
Wellness,5
