Metric,Value
HR,93
BloodCirculation,51
BC2,82
BC3,690
BC4,1
BC5,199
BC6,4570
FitnessRaw,39
Metabolism,2291
Hydration,74
Calmness,58
FitnessAvg,39
Wellness,4
