Metric,Value
HR,91
BloodCirculation,53
BC2,88
BC3,709
BC4,1
BC5,209
BC6,4502
FitnessRaw,41
Metabolism,1776
Hydration,60
Calmness,52
FitnessAvg,41
Wellness,2
