Metric,Value
HR,84
BloodCirculation,58
BC2,102
BC3,817
BC4,1
BC5,245
BC6,4436
FitnessRaw,44
Metabolism,1987
Hydration,68
Calmness,66
FitnessAvg,44
Wellness,3
