Metric,Value
HR,73
BloodCirculation,59
BC2,121
BC3,1022
BC4,1
BC5,306
BC6,4200
FitnessRaw,45
Metabolism,1785
Hydration,81
Calmness,78
FitnessAvg,45
Wellness,3
