Metric,Value
HR,112
BloodCirculation,56
BC2,92
BC3,765
BC4,1
BC5,221
BC6,4744
FitnessRaw,30
Metabolism,1642
Hydration,56
Calmness,27
FitnessAvg,30
Wellness,2
